,date,open,high,low,close,volume,avg,crossover,trade_value
648,2024-10-22 13:48:00+05:30,51546.6,51590.3,51539.55,51548.7,0,51564,0,-15
649,2024-10-22 13:49:00+05:30,51550.65,51562.7,51542.65,51561.6,0,51552,1,9
650,2024-10-22 13:50:00+05:30,51562.8,51579.9,51556.05,51575.55,0,51567,1,8
651,2024-10-22 13:51:00+05:30,51576.15,51579.8,51543.75,51557.35,0,51561,0,-3
652,2024-10-22 13:52:00+05:30,51558.15,51565.9,51539.95,51557.65,0,51552,1,5
653,2024-10-22 13:53:00+05:30,51558.2,51586.8,51552.05,51584.2,0,51569,1,15
654,2024-10-22 13:54:00+05:30,51586.5,51601.55,51549.7,51556.3,0,51575,0,-18
655,2024-10-22 13:55:00+05:30,51558.55,51582.4,51551.45,51578.55,0,51566,1,12
656,2024-10-22 13:56:00+05:30,51574.75,51580.0,51556.8,51575.2,0,51568,1,7
657,2024-10-22 13:57:00+05:30,51574.55,51576.9,51547.3,51553.15,0,51562,0,-8
658,2024-10-22 13:58:00+05:30,51556.3,51556.7,51534.0,51537.1,0,51545,0,-7
659,2024-10-22 13:59:00+05:30,51539.6,51558.85,51539.15,51556.95,0,51549,1,7
660,2024-10-22 14:00:00+05:30,51558.65,51565.45,51549.4,51564.0,0,51557,1,7
661,2024-10-22 14:01:00+05:30,51563.3,51592.45,51562.7,51566.6,0,51577,0,-10
662,2024-10-22 14:02:00+05:30,51560.3,51562.85,51534.75,51539.6,0,51548,0,-8
663,2024-10-22 14:03:00+05:30,51537.75,51556.4,51534.9,51546.65,0,51545,1,1
664,2024-10-22 14:04:00+05:30,51549.35,51549.35,51518.3,51518.3,0,51533,0,-14
665,2024-10-22 14:05:00+05:30,51518.35,51527.25,51502.6,51515.1,0,51514,1,1
666,2024-10-22 14:06:00+05:30,51515.7,51540.75,51510.85,51528.9,0,51525,1,3
667,2024-10-22 14:07:00+05:30,51527.0,51564.2,51527.0,51562.95,0,51545,1,17
668,2024-10-22 14:08:00+05:30,51566.7,51574.75,51542.1,51545.9,0,51558,0,-12
669,2024-10-22 14:09:00+05:30,51545.15,51561.0,51544.35,51556.65,0,51552,1,4
670,2024-10-22 14:10:00+05:30,51552.6,51575.9,51546.0,51575.9,0,51560,1,15
671,2024-10-22 14:11:00+05:30,51573.55,51667.5,51573.55,51658.25,0,51620,1,38
672,2024-10-22 14:12:00+05:30,51661.55,51681.2,51630.45,51648.1,0,51655,0,-6
673,2024-10-22 14:13:00+05:30,51647.7,51676.15,51638.85,51669.2,0,51657,1,12
674,2024-10-22 14:14:00+05:30,51666.15,51674.55,51655.45,51672.05,0,51665,1,7
675,2024-10-22 14:15:00+05:30,51676.25,51679.15,51624.4,51627.0,0,51651,0,-24
676,2024-10-22 14:16:00+05:30,51632.6,51639.05,51585.1,51593.9,0,51612,0,-18
677,2024-10-22 14:17:00+05:30,51597.05,51602.6,51538.45,51553.65,0,51570,0,-16
678,2024-10-22 14:18:00+05:30,51553.9,51555.55,51529.55,51547.2,0,51542,1,5
679,2024-10-22 14:19:00+05:30,51547.1,51560.35,51517.75,51530.5,0,51539,0,-8
